,Batsman,Status,Runs,Balls,Fours,Sixes,Out
0,Ruturaj Gaikwad,c Rana b Yadav,0,4,0,0,True
2,Devon Conway,c SS Iyer b Yadav,3,8,0,0,True
4,Robin Uthappa,st †Jackson b Varun,28,21,2,2,True
6,Ambati Rayudu,run out (SS Iyer/Narine),15,17,1,1,True
8,Ravindra Jadeja,not out,26,28,0,1,False
9,Shivam Dube,c Narine b Russell,3,6,0,0,True
11,MS Dhoni,not out,50,38,7,1,False
16,Ajinkya Rahane,c Jadeja b Santner,44,34,6,1,True
18,Venkatesh Iyer,c †Dhoni b Bravo,16,16,2,0,True
20,Nitish Rana,c Rayudu b Bravo,21,17,2,1,True
22,Shreyas Iyer,not out,20,19,1,0,False
23,Sam Billings,c Deshpande b Bravo,25,22,1,1,True
25,Sheldon Jackson,not out,3,3,0,0,False
30,Rohit Sharma,c Powell b Kuldeep Yadav,41,32,4,2,True
32,Ishan Kishan,not out,81,48,11,2,False
33,Anmolpreet Singh,c Lalit Yadav b Kuldeep Yadav,8,9,0,0,True
35,Tilak Varma,c Shaw b Ahmed,22,15,3,0,True
37,Kieron Pollard,c Seifert b Kuldeep Yadav,3,6,0,0,True
39,Tim David,c Mandeep Singh b Ahmed,12,8,0,1,True
41,Daniel Sams,not out,7,2,0,1,False
46,Prithvi Shaw,c †Ishan Kishan b Basil Thampi,38,24,4,2,True
48,Tim Seifert,b Ashwin,21,14,4,0,True
50,Mandeep Singh,c Tilak Varma b Ashwin,0,2,0,0,True
52,Rishabh Pant,c David b Mills,1,2,0,0,True
54,Lalit Yadav,not out,48,38,4,2,False
55,Rovman Powell,c Sams b Basil Thampi,0,2,0,0,True
57,Shardul Thakur,c Sharma b Basil Thampi,22,11,4,0,True
59,Axar Patel,not out,38,17,2,3,False
64,Faf du Plessis,c Shahrukh Khan b Arshdeep Singh,88,57,3,7,True
66,Anuj Rawat,b Chahar,21,20,2,1,True
68,Virat Kohli,not out,41,29,1,2,False
69,Dinesh Karthik,not out,32,14,3,3,False
74,Mayank Agarwal,c Shahbaz Ahmed b de Silva,32,24,2,2,True
76,Shikhar Dhawan,c Anuj Rawat b Patel,43,29,5,1,True
78,Bhanuka Rajapaksa,c Shahbaz Ahmed b Mohammed Siraj,43,22,2,4,True
80,Liam Livingstone,c Anuj Rawat b Akash Deep,19,10,0,2,True
82,Raj Bawa,lbw b Mohammed Siraj,0,1,0,0,True
84,M Shahrukh Khan,not out,24,20,1,2,False
85,Odean Smith,not out,25,8,1,3,False
90,KL Rahul,c †Wade b Mohammed Shami,0,1,0,0,True
92,Quinton de Kock,b Mohammed Shami,7,9,1,0,True
94,Evin Lewis,c Shubman Gill b Aaron,10,9,2,0,True
96,Manish Pandey,b Mohammed Shami,6,5,1,0,True
98,Deepak Hooda,lbw b Rashid Khan,55,41,6,2,True
100,Ayush Badoni,c Pandya b Aaron,54,41,4,3,True
102,Krunal Pandya,not out,21,13,3,0,False
103,Dushmantha Chameera,not out,1,1,0,0,False
108,Shubman Gill,c Hooda b Chameera,0,3,0,0,True
110,Matthew Wade,b Hooda,30,29,4,0,True
112,Vijay Shankar,b Chameera,4,6,0,0,True
114,Hardik Pandya,c Pandey b Pandya,33,28,5,1,True
116,David Miller,c Rahul b Avesh Khan,30,21,1,2,True
118,Rahul Tewatia,not out,40,24,5,2,False
119,Abhinav Manohar,not out,15,7,3,0,False
124,Jos Buttler,c †Pooran b Umran Malik,35,28,3,3,True
126,Yashasvi Jaiswal,c Markram b Shepherd,20,16,2,1,True
128,Sanju Samson,c Abdul Samad b Kumar,55,27,3,5,True
130,Devdutt Padikkal,b Umran Malik,41,29,4,2,True
132,Shimron Hetmyer,b Natarajan,32,13,2,3,True
134,Riyan Parag,c †Pooran b Natarajan,12,9,2,0,True
136,Nathan Coulter-Nile,not out,1,2,0,0,False
141,Kane Williamson,c Padikkal b Prasidh Krishna,2,7,0,0,True
143,Abhishek Sharma,c Hetmyer b Chahal,9,19,1,0,True
145,Rahul Tripathi,c †Samson b Prasidh Krishna,0,3,0,0,True
147,Nicholas Pooran,lbw b Boult,0,9,0,0,True
149,Aiden Markram,not out,57,41,5,2,False
150,Abdul Samad,c Parag b Chahal,4,6,0,0,True
152,Romario Shepherd,b Chahal,24,18,0,2,True
154,Washington Sundar,c Hetmyer b Boult,40,14,5,2,True
156,Bhuvneshwar Kumar,not out,3,4,0,0,False
161,Ajinkya Rahane,c Shahbaz Ahmed b Mohammed Siraj,9,10,1,0,True
163,Venkatesh Iyer,c & b Akash Deep,10,14,1,0,True
165,Shreyas Iyer,c du Plessis b de Silva,13,10,2,0,True
167,Nitish Rana,c Willey b Akash Deep,10,5,1,1,True
169,Sunil Narine,c Akash Deep b de Silva,12,8,1,1,True
171,Sam Billings,c Kohli b Patel,14,15,0,1,True
173,Sheldon Jackson,b de Silva,0,1,0,0,True
175,Andre Russell,c †Karthik b Patel,25,18,1,3,True
177,Tim Southee,c du Plessis b de Silva,1,5,0,0,True
179,Umesh Yadav,b Akash Deep,18,12,2,1,True
181,Varun Chakravarthy,not out,10,16,2,0,False
185,Faf du Plessis,c Rahane b Southee,5,4,1,0,True
187,Anuj Rawat,c †Jackson b Yadav,0,2,0,0,True
189,Virat Kohli,c †Jackson b Yadav,12,7,2,0,True
191,David Willey,c Rana b Narine,18,28,3,0,True
193,Sherfane Rutherford,c †Jackson b Southee,28,40,1,1,True
195,Shahbaz Ahmed,st †Jackson b Varun,27,20,0,3,True
197,Dinesh Karthik,not out,14,7,1,1,False
198,Wanindu Hasaranga de Silva,c Russell b Southee,4,3,1,0,True
200,Harshal Patel,not out,10,6,2,0,False
205,Robin Uthappa,lbw b Ravi Bishnoi,50,27,8,1,True
207,Ruturaj Gaikwad,run out (Ravi Bishnoi),1,4,0,0,True
209,Moeen Ali,b Avesh Khan,35,22,4,2,True
211,Shivam Dube,c Lewis b Avesh Khan,49,30,5,2,True
213,Ambati Rayudu,b Ravi Bishnoi,27,20,2,2,True
215,Ravindra Jadeja,c Pandey b Tye,17,9,3,0,True
217,MS Dhoni,not out,16,6,2,1,False
218,Dwaine Pretorius,lbw b Tye,0,1,0,0,True
220,Dwayne Bravo,not out,1,1,0,0,False
225,KL Rahul,c Rayudu b Pretorius,40,26,2,3,True
227,Quinton de Kock,c †Dhoni b Pretorius,61,45,9,0,True
229,Manish Pandey,c Bravo b Deshpande,5,6,0,0,True
231,Evin Lewis,not out,55,23,6,3,False
232,Deepak Hooda,c Jadeja b Bravo,13,8,1,1,True
234,Ayush Badoni,not out,19,9,0,2,False
239,Mayank Agarwal,lbw b Yadav,1,5,0,0,True
241,Shikhar Dhawan,c †Billings b Southee,16,15,1,1,True
243,Bhanuka Rajapaksa,c Southee b Shivam Mavi,31,9,3,3,True
245,Liam Livingstone,c Southee b Yadav,19,16,1,1,True
247,Raj Bawa,b Narine,11,13,1,0,True
249,M Shahrukh Khan,c Rana b Southee,0,5,0,0,True
251,Harpreet Brar,b Yadav,14,18,1,1,True
253,Odean Smith,not out,9,12,0,1,False
254,Rahul Chahar,c Rana b Yadav,0,2,0,0,True
256,Kagiso Rabada,c Southee b Russell,25,16,4,1,True
258,Arshdeep Singh,run out (Rana/Russell),0,1,0,0,True
263,Ajinkya Rahane,c Smith b Rabada,12,11,3,0,True
265,Venkatesh Iyer,c Harpreet Brar b Smith,3,7,0,0,True
267,Shreyas Iyer,c Rabada b Chahar,26,15,5,0,True
269,Sam Billings,not out,24,23,1,1,False
270,Nitish Rana,lbw b Chahar,0,2,0,0,True
272,Andre Russell,not out,70,31,2,8,False
277,Jos Buttler,b Bumrah,100,68,11,5,True
279,Yashasvi Jaiswal,c David b Bumrah,1,2,0,0,True
281,Devdutt Padikkal,c Sharma b Mills,7,7,1,0,True
283,Sanju Samson,c Tilak Varma b Pollard,30,21,1,3,True
285,Shimron Hetmyer,c Tilak Varma b Bumrah,35,14,3,3,True
287,Riyan Parag,c David b Mills,5,4,1,0,True
289,Ravichandran Ashwin,run out (Tilak Varma/†Ishan Kishan),1,1,0,0,True
291,Navdeep Saini,c †Ishan Kishan b Mills,2,2,0,0,True
293,Trent Boult,not out,1,1,0,0,False
298,Ishan Kishan,c Saini b Boult,54,43,5,1,True
300,Rohit Sharma,c Parag b Prasidh Krishna,10,5,0,1,True
302,Anmolpreet Singh,c Padikkal b Saini,5,4,1,0,True
304,Tilak Varma,b Ashwin,61,33,3,5,True
306,Kieron Pollard,c Buttler b Saini,22,24,3,1,True
308,Tim David,lbw b Chahal,1,3,0,0,True
310,Daniel Sams,c Buttler b Chahal,0,1,0,0,True
312,Murugan Ashwin,run out (†Samson),6,8,1,0,True
314,Jasprit Bumrah,not out,0,1,0,0,False
319,Matthew Wade,c †Pant b Mustafizur Rahman,1,2,0,0,True
321,Shubman Gill,c Patel b Ahmed,84,46,6,4,True
323,Vijay Shankar,b Kuldeep Yadav,13,20,1,0,True
325,Hardik Pandya,c Powell b Ahmed,31,27,4,0,True
327,David Miller,not out,20,15,2,0,False
328,Rahul Tewatia,c Thakur b Mustafizur Rahman,14,8,1,1,True
330,Abhinav Manohar,c Patel b Mustafizur Rahman,1,2,0,0,True
332,Rashid Khan,not out,0,1,0,0,False
337,Prithvi Shaw,c Shankar b Ferguson,10,7,1,0,True
339,Tim Seifert,c Manohar b Pandya,3,5,0,0,True
341,Mandeep Singh,c †Wade b Ferguson,18,16,4,0,True
343,Rishabh Pant,c Manohar b Ferguson,43,29,7,0,True
345,Lalit Yadav,run out (Manohar/Shankar),25,22,2,1,True
347,Rovman Powell,lbw b Mohammed Shami,20,12,2,1,True
349,Axar Patel,c †Wade b Ferguson,8,4,2,0,True
351,Shardul Thakur,lbw b Rashid Khan,2,5,0,0,True
353,Kuldeep Yadav,not out,14,14,0,1,False
354,Khaleel Ahmed,c †Wade b Mohammed Shami,0,1,0,0,True
356,Mustafizur Rahman,not out,3,5,0,0,False
360,Mayank Agarwal,c Uthappa b Mukesh Choudhary,4,2,1,0,True
362,Shikhar Dhawan,c Jadeja b Bravo,33,24,4,1,True
364,Bhanuka Rajapaksa,run out (Jordan/†Dhoni),9,5,0,1,True
366,Liam Livingstone,c Rayudu b Jadeja,60,32,5,5,True
368,Jitesh Sharma,c Uthappa b Pretorius,26,17,0,3,True
370,M Shahrukh Khan,c Pretorius b Jordan,6,11,0,0,True
372,Odean Smith,c Bravo b Jordan,3,7,0,0,True
374,Kagiso Rabada,not out,12,12,1,0,False
375,Rahul Chahar,c Bravo b Pretorius,12,8,1,1,True
377,Vaibhav Arora,not out,1,2,0,0,False
382,Robin Uthappa,c Agarwal b Arora,13,10,2,0,True
384,Ruturaj Gaikwad,c Dhawan b Rabada,1,4,0,0,True
386,Moeen Ali,b Arora,0,2,0,0,True
388,Ambati Rayudu,c †Sharma b Smith,13,21,2,0,True
390,Ravindra Jadeja,b Arshdeep Singh,0,3,0,0,True
392,Shivam Dube,c Arshdeep Singh b Livingstone,57,30,6,3,True
394,MS Dhoni,c †Sharma b Chahar,23,28,1,1,True
396,Dwayne Bravo,c & b Livingstone,0,1,0,0,True
398,Dwaine Pretorius,c Arshdeep Singh b Chahar,8,4,0,1,True
400,Chris Jordan,c Livingstone b Chahar,5,5,0,0,True
402,Mukesh Choudhary,not out,2,2,0,0,False
406,KL Rahul,lbw b Natarajan,68,50,6,1,True
408,Quinton de Kock,c Williamson b Washington Sundar,1,4,0,0,True
410,Evin Lewis,lbw b Washington Sundar,1,5,0,0,True
412,Manish Pandey,c Kumar b Shepherd,11,10,1,1,True
414,Deepak Hooda,c Tripathi b Shepherd,51,33,3,3,True
416,Ayush Badoni,run out (†Pooran/Shepherd),19,12,3,0,True
418,Krunal Pandya,b Natarajan,6,3,1,0,True
420,Jason Holder,not out,8,3,0,1,False
425,Abhishek Sharma,c Pandey b Avesh Khan,13,11,2,0,True
427,Kane Williamson,c Tye b Avesh Khan,16,16,1,1,True
429,Rahul Tripathi,c Ravi Bishnoi b Pandya,44,30,5,1,True
431,Aiden Markram,c Rahul b Pandya,12,14,0,0,True
433,Nicholas Pooran,c Hooda b Avesh Khan,34,24,3,2,True
435,Washington Sundar,c Rahul b Holder,18,14,1,0,True
437,Abdul Samad,c †de Kock b Avesh Khan,0,1,0,0,True
439,Romario Shepherd,c Badoni b Holder,8,8,0,1,True
441,Bhuvneshwar Kumar,c †de Kock b Holder,1,2,0,0,True
443,Umran Malik,not out,1,1,0,0,False
448,Jos Buttler,not out,70,47,0,6,False
449,Yashasvi Jaiswal,b Willey,4,6,0,0,True
451,Devdutt Padikkal,c Kohli b Patel,37,29,2,2,True
453,Sanju Samson,c & b de Silva,8,8,0,1,True
455,Shimron Hetmyer,not out,42,31,4,2,False
460,Faf du Plessis,c Boult b Chahal,29,20,5,0,True
462,Anuj Rawat,c †Samson b Saini,26,25,4,0,True
464,Virat Kohli,run out (†Samson/Chahal),5,6,0,0,True
466,David Willey,b Chahal,0,2,0,0,True
468,Sherfane Rutherford,c Saini b Boult,5,10,0,0,True
470,Shahbaz Ahmed,b Boult,45,26,4,3,True
472,Dinesh Karthik,not out,44,23,7,1,False
473,Harshal Patel,not out,9,4,0,1,False
478,Rohit Sharma,c †Billings b Yadav,3,12,0,0,True
480,Ishan Kishan,c SS Iyer b Cummins,14,21,1,0,True
482,Dewald Brevis,st †Billings b Varun,29,19,2,2,True
484,Suryakumar Yadav,c †Billings b Cummins,52,36,5,2,True
486,Tilak Varma,not out,38,27,3,2,False
487,Kieron Pollard,not out,22,5,0,3,False
492,Ajinkya Rahane,c Sams b Mills,7,11,0,0,True
494,Venkatesh Iyer,not out,50,41,6,1,False
495,Shreyas Iyer,c Tilak Varma b Sams,10,6,2,0,True
497,Sam Billings,c Basil Thampi b Ashwin,17,12,0,2,True
499,Nitish Rana,c Sams b Ashwin,8,7,0,1,True
501,Andre Russell,c Brevis b Mills,11,5,1,1,True
503,Pat Cummins,not out,56,15,4,6,False
508,Prithvi Shaw,c †de Kock b Gowtham,61,34,9,2,True
510,David Warner,c Badoni b Ravi Bishnoi,4,12,0,0,True
512,Rovman Powell,b Ravi Bishnoi,3,10,0,0,True
514,Rishabh Pant,not out,39,36,3,2,False
515,Sarfaraz Khan,not out,36,28,3,0,False
520,KL Rahul,c Shaw b Kuldeep Yadav,24,25,1,1,True
522,Quinton de Kock,c Khan b Kuldeep Yadav,80,52,9,2,True
524,Evin Lewis,c Kuldeep Yadav b Lalit Yadav,5,13,0,0,True
526,Deepak Hooda,c Patel b Thakur,11,13,0,0,True
528,Krunal Pandya,not out,19,14,0,1,False
529,Ayush Badoni,not out,10,3,1,1,False
534,Mayank Agarwal,c Rashid Khan b Pandya,5,9,1,0,True
536,Shikhar Dhawan,c †Wade b Rashid Khan,35,30,4,0,True
538,Jonny Bairstow,c Tewatia b Ferguson,8,8,2,0,True
540,Liam Livingstone,c Miller b Rashid Khan,64,27,7,4,True
542,Jitesh Sharma,c Shubman Gill b Nalkande,23,11,1,2,True
544,Odean Smith,c Shubman Gill b Nalkande,0,1,0,0,True
546,M Shahrukh Khan,lbw b Rashid Khan,15,8,0,2,True
548,Kagiso Rabada,run out (Mohammed Shami/†Wade),1,1,0,0,True
550,Rahul Chahar,not out,22,14,2,1,False
551,Vaibhav Arora,b Mohammed Shami,2,6,0,0,True
553,Arshdeep Singh,not out,10,5,1,0,False
557,Matthew Wade,c †Bairstow b Rabada,6,7,1,0,True
559,Shubman Gill,c Agarwal b Rabada,96,59,11,1,True
561,Sai Sudharsan,c Agarwal b Chahar,35,30,4,1,True
563,Hardik Pandya,run out (†Bairstow),27,18,5,0,True
565,David Miller,not out,6,4,1,0,False
566,Rahul Tewatia,not out,13,3,0,2,False
571,Robin Uthappa,c Markram b Washington Sundar,15,11,1,0,True
573,Ruturaj Gaikwad,b Natarajan,16,13,3,0,True
575,Moeen Ali,c Tripathi b Markram,48,35,3,2,True
577,Ambati Rayudu,c Markram b Washington Sundar,27,27,4,0,True
579,Shivam Dube,c Umran Malik b Natarajan,3,5,0,0,True
581,Ravindra Jadeja,c Williamson b Kumar,23,15,2,1,True
583,MS Dhoni,c Umran Malik b Jansen,3,6,0,0,True
585,Dwayne Bravo,not out,8,5,1,0,False
586,Chris Jordan,not out,6,3,0,0,False
591,Abhishek Sharma,c Jordan b Bravo,75,50,5,3,True
593,Kane Williamson,c Ali b Mukesh Choudhary,32,40,2,1,True
595,Rahul Tripathi,not out,39,15,5,2,False
596,Nicholas Pooran,not out,5,2,1,0,False
601,Ishan Kishan,c Mohammed Siraj b Akash Deep,26,28,3,0,True
603,Rohit Sharma,c & b Patel,26,15,4,1,True
605,Dewald Brevis,lbw b de Silva,8,11,1,0,True
607,Suryakumar Yadav,not out,68,37,5,6,False
608,Tilak Varma,run out (Maxwell),0,3,0,0,True
610,Kieron Pollard,lbw b de Silva,0,1,0,0,True
612,Ramandeep Singh,c †Karthik b Patel,6,12,0,0,True
614,Jaydev Unadkat,not out,13,14,1,0,False
619,Faf du Plessis,c Yadav b Unadkat,16,24,1,0,True
621,Anuj Rawat,run out (Ramandeep Singh),66,47,2,6,True
623,Virat Kohli,lbw b Brevis,48,36,5,0,True
625,Dinesh Karthik,not out,7,2,0,1,False
626,Glenn Maxwell,not out,8,2,2,0,False
631,Prithvi Shaw,b Varun,51,29,7,2,True
633,David Warner,c Rahane b Yadav,61,45,6,2,True
635,Rishabh Pant,c Yadav b Russell,27,14,2,2,True
637,Lalit Yadav,lbw b Narine,1,4,0,0,True
639,Rovman Powell,c sub (RK Singh) b Narine,8,6,0,1,True
641,Axar Patel,not out,22,14,2,1,False
642,Shardul Thakur,not out,29,11,1,3,False
647,Ajinkya Rahane,c Thakur b Ahmed,8,14,1,0,True
649,Venkatesh Iyer,c Patel b Ahmed,18,8,1,2,True
651,Shreyas Iyer,st †Pant b Kuldeep Yadav,54,33,5,2,True
653,Nitish Rana,c Shaw b Lalit Yadav,30,20,0,3,True
655,Andre Russell,c Khan b Thakur,24,21,3,0,True
657,Sam Billings,c Lalit Yadav b Ahmed,15,9,1,1,True
659,Pat Cummins,lbw b Kuldeep Yadav,4,3,1,0,True
661,Sunil Narine,c Powell b Kuldeep Yadav,4,2,1,0,True
663,Umesh Yadav,c & b Kuldeep Yadav,0,1,0,0,True
665,Rasikh Salam,c Powell b Thakur,7,6,1,0,True
667,Varun Chakravarthy,not out,1,1,0,0,False
671,Jos Buttler,b Avesh Khan,13,11,1,1,True
673,Devdutt Padikkal,c Holder b Gowtham,29,29,4,0,True
675,Sanju Samson,lbw b Holder,13,12,2,0,True
677,Rassie van der Dussen,b Gowtham,4,4,1,0,True
679,Shimron Hetmyer,not out,59,36,1,6,False
680,Ravichandran Ashwin,retired out,28,23,0,2,True
682,Riyan Parag,c Gowtham b Holder,8,4,0,1,True
684,Trent Boult,not out,2,1,0,0,False
689,KL Rahul,b Boult,0,1,0,0,True
691,Quinton de Kock,c Parag b Chahal,39,32,2,1,True
693,Krishnappa Gowtham,lbw b Boult,0,1,0,0,True
695,Jason Holder,c Ashwin b Prasidh Krishna,8,14,2,0,True
697,Deepak Hooda,b Sen,25,24,3,0,True
699,Ayush Badoni,c Parag b Chahal,5,7,0,0,True
701,Krunal Pandya,b Chahal,22,15,2,0,True
703,Marcus Stoinis,not out,38,17,2,4,False
704,Dushmantha Chameera,lbw b Chahal,13,7,2,0,True
706,Avesh Khan,not out,7,2,0,1,False
711,Matthew Wade,lbw b Umran Malik,19,19,3,0,True
713,Shubman Gill,c Tripathi b Kumar,7,9,1,0,True
715,Sai Sudharsan,c Williamson b Natarajan,11,9,2,0,True
717,Hardik Pandya,not out,50,42,4,1,False
718,David Miller,c Abhishek Sharma b Jansen,12,15,0,0,True
720,Abhinav Manohar,c Tripathi b Kumar,35,21,5,1,True
722,Rahul Tewatia,run out (†Pooran/Natarajan),6,4,1,0,True
724,Rashid Khan,b Natarajan,0,1,0,0,True
730,Abhishek Sharma,c Sai Sudharsan b Rashid Khan,42,32,6,0,True
732,Kane Williamson,c Tewatia b Pandya,57,46,2,4,True
734,Rahul Tripathi,retired not out,17,11,1,1,False
735,Nicholas Pooran,not out,34,18,2,2,False
736,Aiden Markram,not out,12,8,1,0,False
741,Ruturaj Gaikwad,lbw b Hazlewood,17,16,3,0,True
743,Robin Uthappa,c Kohli b de Silva,88,50,4,9,True
745,Moeen Ali,run out (Prabhudessai/†Karthik),3,8,0,0,True
747,Shivam Dube,not out,95,46,5,8,False
748,Ravindra Jadeja,c Anuj Rawat b de Silva,0,1,0,0,True
750,MS Dhoni,not out,0,0,0,0,False
755,Faf du Plessis,c Jordan b Theekshana,8,9,0,0,True
757,Anuj Rawat,lbw b Theekshana,12,16,1,0,True
759,Virat Kohli,c Dube b Mukesh Choudhary,1,3,0,0,True
761,Glenn Maxwell,b Jadeja,26,11,2,2,True
763,Shahbaz Ahmed,b Theekshana,41,27,4,0,True
765,Suyash Prabhudessai,b Theekshana,34,18,5,1,True
767,Dinesh Karthik,c Jadeja b Bravo,34,14,2,3,True
769,Wanindu Hasaranga de Silva,c Jordan b Jadeja,7,3,0,1,True
771,Akash Deep,c Rayudu b Jadeja,0,2,0,0,True
773,Mohammed Siraj,not out,14,11,3,0,False
774,Josh Hazlewood,not out,7,7,0,0,False
778,Mayank Agarwal,c Yadav b Ashwin,52,32,6,2,True
780,Shikhar Dhawan,c Pollard b Basil Thampi,70,50,5,3,True
782,Jonny Bairstow,b Unadkat,12,13,1,0,True
784,Liam Livingstone,b Bumrah,2,3,0,0,True
786,Jitesh Sharma,not out,30,15,2,2,False
787,M Shahrukh Khan,b Basil Thampi,15,6,0,2,True
789,Odean Smith,not out,1,1,0,0,False
794,Rohit Sharma,c Arora b Rabada,28,17,3,2,True
796,Ishan Kishan,c †Sharma b Arora,3,6,0,0,True
798,Dewald Brevis,c Arshdeep Singh b Smith,49,25,4,5,True
800,Tilak Varma,run out (Agarwal/Arshdeep Singh),36,20,3,2,True
802,Suryakumar Yadav,c Smith b Rabada,43,30,1,4,True
804,Kieron Pollard,run out (Smith/†Sharma),10,11,1,0,True
806,Jaydev Unadkat,c Agarwal b Smith,12,7,0,1,True
808,Murugan Ashwin,not out,0,2,0,0,False
809,Jasprit Bumrah,c Dhawan b Smith,0,1,0,0,True
811,Tymal Mills,c Agarwal b Smith,0,2,0,0,True
817,Matthew Wade,run out (van der Dussen),12,6,3,0,True
819,Shubman Gill,c Hetmyer b Parag,13,14,2,0,True
821,Vijay Shankar,c †Samson b Sen,2,7,0,0,True
823,Hardik Pandya,not out,87,52,8,4,False
824,Abhinav Manohar,c Ashwin b Chahal,43,28,4,2,True
826,David Miller,not out,31,14,5,1,False
831,Jos Buttler,b Ferguson,54,24,8,3,True
833,Devdutt Padikkal,c Shubman Gill b Yash Dayal,0,1,0,0,True
835,Ravichandran Ashwin,c Miller b Ferguson,8,8,0,1,True
837,Sanju Samson,run out (Pandya),11,11,0,1,True
839,Rassie van der Dussen,c †Wade b Yash Dayal,6,10,0,0,True
841,Shimron Hetmyer,c Tewatia b Mohammed Shami,29,17,2,1,True
843,Riyan Parag,c Shubman Gill b Ferguson,18,16,1,1,True
845,James Neesham,c & b Pandya,17,15,1,0,True
847,Prasidh Krishna,not out,4,7,0,0,False
848,Yuzvendra Chahal,c Shankar b Yash Dayal,5,8,0,0,True
850,Kuldeep Sen,not out,0,3,0,0,False
854,Venkatesh Iyer,b Natarajan,6,13,1,0,True
856,Aaron Finch,c †Pooran b Jansen,7,5,0,1,True
858,Shreyas Iyer,b Umran Malik,28,25,3,0,True
860,Sunil Narine,c Shashank Singh b Natarajan,6,2,0,1,True
862,Nitish Rana,c †Pooran b Natarajan,54,36,6,2,True
864,Sheldon Jackson,c Natarajan b Umran Malik,7,7,0,1,True
866,Andre Russell,not out,49,25,4,4,False
867,Pat Cummins,c Jansen b Kumar,3,3,0,0,True
869,Aman Hakim Khan,b Suchith,5,3,1,0,True
871,Umesh Yadav,not out,1,1,0,0,False
876,Abhishek Sharma,b Cummins,3,10,0,0,True
878,Kane Williamson,b Russell,17,16,3,0,True
880,Rahul Tripathi,c VR Iyer b Russell,71,37,4,6,True
882,Aiden Markram,not out,68,36,6,4,False
883,Nicholas Pooran,not out,5,8,0,0,False
888,KL Rahul,not out,103,60,9,5,False
889,Quinton de Kock,lbw b Allen,24,13,4,1,True
891,Manish Pandey,b Ashwin,38,29,6,0,True
893,Marcus Stoinis,c Sharma b Unadkat,10,9,0,1,True
895,Deepak Hooda,c †Ishan Kishan b Unadkat,15,8,1,1,True
897,Krunal Pandya,not out,1,1,0,0,False
902,Ishan Kishan,b Stoinis,13,17,2,0,True
904,Rohit Sharma,c †de Kock b Avesh Khan,6,7,1,0,True
